"Basin","Subbasin","Date","Year","Month","Avg_rainfall","Agency_name"
"Brahmani and Baitarni Basin","Baitarni","2023-03-15","2023","03","0.0001025332","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-03-16","2023","03","0.0367016714","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-03-18","2023","03","0.3014858918","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-03-17","2023","03","0.5383278479","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-03-19","2023","03","25.5599355675","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-03-20","2023","03","7.9446393051","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-03-21","2023","03","0.4895249494","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-03-22","2023","03","1.5753375625","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-03-23","2023","03","0.4654576118","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-03-24","2023","03","5.12666E-5","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-03-25","2023","03","0.0021758985","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-03-26","2023","03","1.3727901998","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-03-01","2023","03","0.0008229287","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-03-03","2023","03","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-03-02","2023","03","0.002846365","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-03-04","2023","03","0.0004780631","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-03-05","2023","03","0.0014448662","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-03-06","2023","03","0.0006901984","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-03-07","2023","03","0.0008441586","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-03-08","2023","03","0.0430478218","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-03-10","2023","03","0.0183035227","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-03-09","2023","03","0.0868894397","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-03-11","2023","03","0.4319286006","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-03-12","2023","03","0.0005046091","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-03-13","2023","03","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-03-14","2023","03","0.0001813774","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-03-15","2023","03","0.0008483818","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-03-16","2023","03","0.0564304483","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-03-18","2023","03","1.2424077738","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-03-17","2023","03","1.8204261773","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-03-19","2023","03","7.5793897485","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-03-20","2023","03","10.9330696531","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-03-21","2023","03","1.0904626004","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-03-22","2023","03","1.9747334146","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-03-23","2023","03","0.1233611459","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-03-24","2023","03","0.022644187","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-03-25","2023","03","0.0013360763","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-03-26","2023","03","0.0887143095","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-03-01","2023","03","2.1588855263","NRSC VIC MODEL"
