"Basin","Subbasin","Date","Year","Month","Avg_rainfall","Agency_name"
"Cauvery Basin","Cauvery Upper","2022-11-06","2022","11","0.4435157731","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2022-11-07","2022","11","0.8840792809","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2022-11-08","2022","11","0.0203141268","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2022-11-09","2022","11","0.0003264212","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2022-11-10","2022","11","1.057E-6","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2022-11-11","2022","11","0.3023444483","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2022-11-12","2022","11","4.4787930597","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Upper","2022-11-13","2022","11","3.1720621142","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","East flowing rivers between Godavari and krishna","2022-11-01","2022","11","0.7152160915","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","East flowing rivers between Godavari and krishna","2022-11-02","2022","11","0.191558871","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","East flowing rivers between Godavari and krishna","2022-11-03","2022","11","0.7913893646","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","East flowing rivers between Godavari and krishna","2022-11-04","2022","11","0.1583772048","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","East flowing rivers between Godavari and krishna","2022-11-05","2022","11","4.0122866183","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","East flowing rivers between Godavari and krishna","2022-11-07","2022","11","NA","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","East flowing rivers between Godavari and krishna","2022-11-06","2022","11","0.0010498468","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","East flowing rivers between Godavari and krishna","2022-11-08","2022","11","NA","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","East flowing rivers between Godavari and krishna","2022-11-09","2022","11","NA","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","East flowing rivers between Godavari and krishna","2022-11-10","2022","11","0.0004811561","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","East flowing rivers between Godavari and krishna","2022-11-11","2022","11","0.0281855425","NRSC VIC MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","East flowing rivers between Godavari and krishna","2022-11-12","2022","11","0.4779813014","NRSC VIC MODEL"
