"Basin","Subbasin","Date","Year","Month","Avg_rainfall","Agency_name"
"Brahamaputra Basin","Brahmaputra Lower","2023-02-06","2023","02","0.0677427055","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-02-07","2023","02","0.1133717085","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-02-08","2023","02","1.1361949097","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-02-09","2023","02","3.1870412263","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-02-10","2023","02","1.9675057971","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-02-11","2023","02","2.0793995965","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-02-12","2023","02","1.4365685296","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-02-13","2023","02","2.7534864916","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-02-14","2023","02","1.9071067238","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-02-16","2023","02","0.0196834968","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-02-15","2023","02","0.0106562848","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-02-17","2023","02","0.008275947","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-02-18","2023","02","0.0527541341","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-02-19","2023","02","0.0038590348","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-02-20","2023","02","0.1438620919","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-02-21","2023","02","0.3546256407","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-02-22","2023","02","5.3405505981","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-02-23","2023","02","3.5766654665","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-02-24","2023","02","2.9755419691","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-02-01","2023","02","0.262178615","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-02-02","2023","02","0.1690078434","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-02-03","2023","02","0.183319874","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-02-04","2023","02","0.1385973614","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-02-05","2023","02","0.157598791","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-02-06","2023","02","0.0490805149","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-02-07","2023","02","2.6477619082","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-02-08","2023","02","2.3540844407","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-02-09","2023","02","3.0197590094","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-02-10","2023","02","3.0366821788","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-02-11","2023","02","2.3771189715","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-02-12","2023","02","1.7806083564","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-02-13","2023","02","4.6108050118","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-02-14","2023","02","1.7428313958","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-02-16","2023","02","0.6780899447","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-02-15","2023","02","0.1798888995","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-02-17","2023","02","0.1099429948","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-02-18","2023","02","0.1374788942","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-02-19","2023","02","0.2080716284","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-02-20","2023","02","0.7964462911","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-02-21","2023","02","1.3380364143","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-02-22","2023","02","9.2083574478","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-02-23","2023","02","8.1106702363","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2023-02-24","2023","02","3.3950578729","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-02-01","2023","02","0.0229650831","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-02-02","2023","02","0.006177379","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-02-04","2023","02","0.000533413","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-02-03","2023","02","0.0013264628","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-02-05","2023","02","0.0004308798","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-02-06","2023","02","0.0009812045","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-02-07","2023","02","0.0001537998","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-02-08","2023","02","0.0002939916","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-02-09","2023","02","0.0012026745","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-02-10","2023","02","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-02-11","2023","02","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-02-12","2023","02","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-02-13","2023","02","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-02-14","2023","02","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-02-15","2023","02","0.0007248714","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-02-16","2023","02","0.0005931355","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-02-17","2023","02","0.0053983151","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-02-18","2023","02","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-02-19","2023","02","0.0010868281","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-02-21","2023","02","9.40774E-5","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-02-20","2023","02","0.000145344","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-02-22","2023","02","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-02-23","2023","02","0.0009896603","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2023-02-24","2023","02","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-02-01","2023","02","0.0038925116","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-02-02","2023","02","0.0041218961","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-02-04","2023","02","0.0045158685","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-02-03","2023","02","0.008805208","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-02-05","2023","02","0.0073283143","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-02-06","2023","02","0.002691068","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-02-07","2023","02","0.0004267698","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-02-08","2023","02","0.0022743848","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-02-09","2023","02","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-02-10","2023","02","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-02-11","2023","02","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-02-12","2023","02","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-02-13","2023","02","5.593E-7","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-02-14","2023","02","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-02-15","2023","02","0.0049338143","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-02-16","2023","02","0.0010954463","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-02-17","2023","02","0.0012266414","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-02-18","2023","02","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-02-19","2023","02","0.0002334587","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-02-21","2023","02","0.001060775","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-02-20","2023","02","0.0013594809","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-02-22","2023","02","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-02-23","2023","02","0.0017107159","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-02-24","2023","02","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-02-01","2023","02","0.8818664162","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-02-02","2023","02","5.2997707647","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-02-04","2023","02","12.0343109373","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-02-03","2023","02","22.7647455699","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-02-05","2023","02","0.7086637701","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-02-06","2023","02","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-02-07","2023","02","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-02-08","2023","02","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-02-09","2023","02","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-02-10","2023","02","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-02-11","2023","02","0.0066004656","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-02-12","2023","02","0.0038831603","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-02-13","2023","02","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-02-14","2023","02","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-02-15","2023","02","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-02-16","2023","02","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-02-17","2023","02","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-02-18","2023","02","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-02-19","2023","02","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-02-21","2023","02","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-02-20","2023","02","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-02-22","2023","02","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-02-23","2023","02","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-02-24","2023","02","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-02-01","2023","02","0.0045595847","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-02-02","2023","02","0.0291768814","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-02-04","2023","02","2.1357211614","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-02-03","2023","02","0.3654035462","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-02-05","2023","02","0.0191907787","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Middle","2023-02-06","2023","02","0.0015476974","NRSC VIC MODEL"
