Basin,Date,Evapotranspiration (mm),Year
Brahamaputra Basin,2023-03-08,1.02,2023
Brahamaputra Basin,2023-03-09,0.93,2023
Brahamaputra Basin,2023-03-10,0.98,2023
Brahamaputra Basin,2023-03-11,0.9,2023
Brahamaputra Basin,2023-03-12,0.95,2023
Brahamaputra Basin,2023-03-13,0.99,2023
Brahamaputra Basin,2023-03-14,0.86,2023
Brahamaputra Basin,2023-03-15,0.78,2023
Brahamaputra Basin,2023-03-16,3.22,2023
Brahamaputra Basin,2023-03-17,1.23,2023
Brahamaputra Basin,2023-03-18,1.14,2023
Brahamaputra Basin,2023-03-19,1.29,2023
Brahamaputra Basin,2023-03-20,2.22,2023
Brahamaputra Basin,2023-03-21,4.13,2023
Brahamaputra Basin,2023-03-22,2.57,2023
Brahamaputra Basin,2023-03-23,1.86,2023
Brahamaputra Basin,2023-03-24,2.4,2023
Brahamaputra Basin,2023-03-25,2.19,2023
Brahamaputra Basin,2023-03-26,1.81,2023
Brahmani and Baitarni Basin,2022-11-01,2.28,2022
Brahmani and Baitarni Basin,2022-11-02,1.99,2022
Brahmani and Baitarni Basin,2022-11-03,1.93,2022
Brahmani and Baitarni Basin,2022-11-04,2,2022
Brahmani and Baitarni Basin,2022-11-05,1.95,2022
Brahmani and Baitarni Basin,2022-11-06,1.79,2022
Brahmani and Baitarni Basin,2022-11-07,1.69,2022
Brahmani and Baitarni Basin,2022-11-08,1.58,2022
Brahmani and Baitarni Basin,2022-11-09,1.56,2022
Brahmani and Baitarni Basin,2022-11-10,1.54,2022
Brahmani and Baitarni Basin,2022-11-11,1.46,2022
Brahmani and Baitarni Basin,2022-11-12,1.31,2022
Brahmani and Baitarni Basin,2022-11-13,1.38,2022
Brahmani and Baitarni Basin,2022-11-14,1.31,2022
Brahmani and Baitarni Basin,2022-11-15,1.3,2022
Brahmani and Baitarni Basin,2022-11-16,1.26,2022
Brahmani and Baitarni Basin,2022-11-17,1.23,2022
Brahmani and Baitarni Basin,2022-11-18,1.01,2022
Brahmani and Baitarni Basin,2022-11-19,0.97,2022
Brahmani and Baitarni Basin,2022-11-20,1,2022
Brahmani and Baitarni Basin,2022-11-21,1.02,2022
Brahmani and Baitarni Basin,2022-11-22,0.96,2022
Brahmani and Baitarni Basin,2022-11-23,0.93,2022
Brahmani and Baitarni Basin,2022-11-24,0.89,2022
Brahmani and Baitarni Basin,2022-11-25,0.87,2022
Brahmani and Baitarni Basin,2022-11-26,0.85,2022
Brahmani and Baitarni Basin,2022-11-27,0.84,2022
Brahmani and Baitarni Basin,2022-11-28,0.82,2022
Brahmani and Baitarni Basin,2022-11-29,0.79,2022
Brahmani and Baitarni Basin,2022-11-30,0.78,2022
Brahmani and Baitarni Basin,2022-12-01,0.59,2022
Brahmani and Baitarni Basin,2022-12-02,0.55,2022
Brahmani and Baitarni Basin,2022-12-03,0.54,2022
Brahmani and Baitarni Basin,2022-12-04,0.52,2022
Brahmani and Baitarni Basin,2022-12-05,0.5,2022
Brahmani and Baitarni Basin,2022-12-06,0.48,2022
Brahmani and Baitarni Basin,2022-12-07,0.46,2022
Brahmani and Baitarni Basin,2022-12-08,0.43,2022
Brahmani and Baitarni Basin,2022-12-09,0.46,2022
Brahmani and Baitarni Basin,2022-12-10,0.35,2022
Brahmani and Baitarni Basin,2022-12-11,0.54,2022
Brahmani and Baitarni Basin,2022-12-12,0.54,2022
Brahmani and Baitarni Basin,2022-12-13,0.5,2022
Brahmani and Baitarni Basin,2022-12-14,0.48,2022
